Provider Name,County,State,Ownership Type,More than one infection-control deficiency
LYNWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
MACLAY HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
MAPLE HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
MARINA POINTE HEALTHCARE & SUBACUTE,Los Angeles,CA,For profit,YES
MAYFLOWER CARE CENTER,Los Angeles,CA,For profit,YES
MAYFLOWER GARDENS CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit,YES
MID-WILSHIRE HEALTH CARE CNTR,Los Angeles,CA,For profit,YES
MONTE VISTA HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,YES
MONTROSE HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
MOTION PICTURE AND T.V. HOSP D/P SNF,Los Angeles,CA,Non profit,YES
NEW VISTA NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit,YES
NORTHRIDGE CARE CENTER,Los Angeles,CA,For profit,YES
NORWALK MEADOWS NURSING CENTER,Los Angeles,CA,For profit,YES
"NORWALK SKILLED NURSING & WELLNESS CENTRE, LLC",Los Angeles,CA,For profit,YES
PACIFIC PALMS HEALTHCARE,Los Angeles,CA,For profit,YES
PALAZZO POST ACUTE,Los Angeles,CA,For profit,YES
PASADENA PARK HEALTHCARE AND WELLNESS CENTER,Los Angeles,CA,For profit,
PLAYA DEL REY CENTER,Los Angeles,CA,For profit,YES
PRESBYTERIAN INTERCOMM HOSP DP/SNF,Los Angeles,CA,Non profit,YES
PRIMROSE POST-ACUTE,Los Angeles,CA,For profit,YES
PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,Los Angeles,CA,Non profit,YES
RINALDI CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
RIVIERA HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
ROSE GARDEN HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
ROSE VILLA HEALTH CARE CENTER,Los Angeles,CA,For profit,
ROYAL CARE SKILLED NURSING CTR,Los Angeles,CA,For profit,YES
ROYAL CREST HEALTH CARE,Los Angeles,CA,For profit,YES
ROYAL GARDENS HEALTHCARE,Los Angeles,CA,For profit,YES
ROYAL PALMS POST ACUTE,Los Angeles,CA,For profit,YES
ROYALWOOD CARE CENTER,Los Angeles,CA,For profit,YES
SAN FERNANDO POST ACUTE HOSPITAL,Los Angeles,CA,For profit,YES
SANTA ANITA CONVALESCENT HOSP,Los Angeles,CA,For profit,YES
SANTA TERESITA MANOR,Los Angeles,CA,Non profit,YES
SHARON CARE CENTER,Los Angeles,CA,For profit,YES
SHERMAN OAKS HEALTH & REHAB,Los Angeles,CA,For profit,
SOLHEIM SENIOR COMMUNITY,Los Angeles,CA,Non profit,YES
SOUTH PASADENA CARE CENTER,Los Angeles,CA,For profit,
SOUTHLAND,Los Angeles,CA,For profit,YES
STONEY POINT HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
STUDIO CITY REHABILITATION CENTER,Los Angeles,CA,For profit,YES
SUNNYSIDE NURSING CENTER,Los Angeles,CA,Non profit,YES
SUNNYVIEW CARE CENTER,Los Angeles,CA,For profit,YES
SUNRAY HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
SYLMAR HLTH REHAB CTR,Los Angeles,CA,For profit,YES
THE CALIFORNIAN-PASADENA,Los Angeles,CA,For profit,YES
THE EARLWOOD,Los Angeles,CA,For profit,YES
THE ELLISON JOHN TRANSITIONAL CARE CENTER,Los Angeles,CA,For profit,YES
THE GROVE POST-ACUTE CARE CENTER,Los Angeles,CA,For profit,YES
THE MEADOWS POST ACUTE,Los Angeles,CA,For profit,YES
THE ORCHARD - POST ACUTE CARE,Los Angeles,CA,For profit,YES
THE REHABILITATION CENTER OF SANTA MONICA,Los Angeles,CA,For profit,YES
THE REHABILITATION CENTRE OF BEVERLY HILLS,Los Angeles,CA,For profit,YES
"TORRANCE CARE CENTER WEST, INC",Los Angeles,CA,For profit,YES
UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
VALLEY PALMS CARE CENTER,Los Angeles,CA,For profit,
VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit,YES
VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit,YES
VERNON HEALTHCARE CENTER,Los Angeles,CA,For profit,
VIRGIL REHABILITATION & SKILLED NURSING CENTER,Los Angeles,CA,For profit,
WEST HILLS HEALTH & REHAB CENTER,Los Angeles,CA,For profit,
WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit,YES
WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,YES
WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit,YES
WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,YES
WOODLAND CARE CENTER,Los Angeles,CA,For profit,YES
PINE RIDGE CARE CENTER,Marin,CA,For profit,YES
WINDSOR THE RIDGE REHABILITATION CENTER,Monterey,CA,For profit,
ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit,YES
ALAMITOS WEST HEALTH & REHABILITATION,Orange,CA,For profit,
"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit,YES
FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit,YES
HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit,YES
LA HABRA CONVALESCENT HOSPITAL,Orange,CA,For profit,YES
LA PALMA NURSING CENTER,Orange,CA,For profit,
LEISURE COURT NURSING CENTER,Orange,CA,For profit,
MAINPLACE POST ACUTE,Orange,CA,For profit,YES
PARK REGENCY CARE CENTER,Orange,CA,For profit,
PARKVIEW HEALTHCARE CENTER,Orange,CA,For profit,
SEA CLIFF HEALTHCARE CENTER,Orange,CA,For profit,YES
WEST ANAHEIM EXTENDED CARE,Orange,CA,For profit,YES
WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM,Orange,CA,For profit,YES
ROCK CREEK CARE CENTER,Placer,CA,For profit,
ALTA VISTA HEALTHCARE & WELLNESS CENTRE,Riverside,CA,For profit,
ARLINGTON GARDENS CARE CENTER,Riverside,CA,For profit,YES
COMMUNITY CARE AND REHABILITATION CENTER,Riverside,CA,For profit,YES
COMMUNITY CARE ON PALM,Riverside,CA,For profit,YES
CYPRESS GARDENS CARE CENTER,Riverside,CA,For profit,
DESERT REGIONAL MEDICAL CENTER D/P SNF,Riverside,CA,For profit,YES
EXTENDED CARE HOSPITAL OF RIVERSIDE,Riverside,CA,For profit,
HIGHLAND SPRINGS CARE CENTER,Riverside,CA,For profit,
INDIO NURSING AND REHABILITATION CENTER,Riverside,CA,For profit,
MAGNOLIA REHABILITATION & NURSING CENTER,Riverside,CA,For profit,YES
MANORCARE HEALTH SERVICES-HEMET,Riverside,CA,Non profit,YES
MANORCARE HEALTH SERVICES-PALM DESERT,Riverside,CA,Non profit,YES
MISSION CARE CENTER,Riverside,CA,For profit,
RAMONA REHABILITATION AND POST ACUTE CARE CENTER,Riverside,CA,For profit,
RANCHO MIRAGE HEALTH AND REHABILITATION CENTER,Riverside,CA,For profit,YES
RIVERSIDE POSTACUTE CARE,Riverside,CA,For profit,
RIVERWALK POST ACUTE,Riverside,CA,For profit,YES
THE VILLAGE HEALTHCARE CENTER,Riverside,CA,For profit,
VALENCIA GARDENS HEALTH CARE CENTER,Riverside,CA,For profit,YES
VILLA HEALTH CARE CENTER,Riverside,CA,For profit,YES
VISTA PACIFICA CONVALESCENT HOSPITAL,Riverside,CA,For profit,YES
ACC CARE CENTER,Sacramento,CA,Non profit,YES
CASA COLOMA HEALTH CARE CENTER,Sacramento,CA,For profit,YES
ESKATON CARE CENTER MANZANITA,Sacramento,CA,Non profit,
MANORCARE HEALTH SERVICES (CITRUS HEIGHTS),Sacramento,CA,Non profit,YES
MID-TOWN OAKS POST-ACUTE,Sacramento,CA,For profit,
WINDSOR EL CAMINO CARE CENTER,Sacramento,CA,For profit,
APPLE VALLEY POST ACUTE CENTER,San Bernardino,CA,For profit,YES
ASISTENCIA VILLA REHABILITATION AND CARE CENTER,San Bernardino,CA,For profit,YES
CEDAR MOUNTAIN POST ACUTE,San Bernardino,CA,For profit,YES
HERITAGE GARDENS HEALTH CARE CENTER,San Bernardino,CA,For profit,YES
HI-DESERT MEDICAL CENTER D/P SNF,San Bernardino,CA,For profit,
LAS COLINAS POST ACUTE,San Bernardino,CA,For profit,YES
LAUREL CONVALESCENT HOSPITAL,San Bernardino,CA,For profit,YES
ONTARIO HEALTHCARE CENTER,San Bernardino,CA,For profit,YES
PLYMOUTH VILLAGE,San Bernardino,CA,Non profit,YES
RECHE CANYON REGIONAL REHAB CENTER,San Bernardino,CA,For profit,YES
SPRING VALLEY POST ACUTE LLC,San Bernardino,CA,For profit,YES
TERRACINA POST ACUTE,San Bernardino,CA,For profit,YES
TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,San Bernardino,CA,For profit,YES
VILLA MESA CARE CENTER,San Bernardino,CA,For profit,YES
AVOCADO POST ACUTE,San Diego,CA,For profit,
BOULDER CREEK POST ACUTE,San Diego,CA,For profit,YES
COUNTRY HILLS HEALTH CARE CENTER,San Diego,CA,For profit,
EDGEMOOR HOSPITAL,San Diego,CA,Government,
LA MESA HEALTHCARE CENTER,San Diego,CA,For profit,
LEMON GROVE CARE AND REHABILITATION CENTER,San Diego,CA,For profit,
SAN DIEGO POST-ACUTE CENTER,San Diego,CA,For profit,
THE SPRINGS AT PACIFIC REGENT,San Diego,CA,For profit,
VALLE VISTA CONVALESCENT HOSPITAL,San Diego,CA,For profit,YES
VILLA RANCHO BERNARDO CARE CENTER,San Diego,CA,For profit,YES
CENTRAL GARDENS POST ACUTE,San Francisco,CA,For profit,YES
JEWISH HOME & REHAB CENTER D/P SNF,San Francisco,CA,Non profit,YES
LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF,San Francisco,CA,Government,YES
SAN FRANCISCO TOWERS,San Francisco,CA,Non profit,
ST. ANNE'S HOME,San Francisco,CA,Non profit,
TUNNELL SKILLED NURSING & REHABILITATION CENTER,San Francisco,CA,For profit,YES
CLEARWATER HEALTHCARE CENTER,San Joaquin,CA,For profit,YES
LA SALETTE HEALTH AND REHABILITATION CENTER,San Joaquin,CA,For profit,
WAGNER HEIGHTS NURSING & REHABILITATION CENTER,San Joaquin,CA,For profit,YES
PACIFICA NURSING AND REHAB CENTER,San Mateo,CA,For profit,
THE SEQUOIAS,San Mateo,CA,Non profit,YES
LOMPOC SKILLED NURSING & REHABILITATION CENTER,Santa Barbara,CA,For profit,YES
LOMPOC VALLEY MEDICAL CTR COMP CARE CTR D/P SNF,Santa Barbara,CA,Government,YES
A GRACE SUB ACUTE & SKILLED CARE,Santa Clara,CA,For profit,YES
AMBERWOOD GARDENS,Santa Clara,CA,For profit,YES
CANYON SPRINGS POST-ACUTE,Santa Clara,CA,For profit,YES
CEDAR CREST NURSING AND REHABILITATION CENTER,Santa Clara,CA,For profit,
HEALTH CARE CTR AT THE FORUM AT RANCHO SAN ANTONIO,Santa Clara,CA,Non profit,YES
LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,Santa Clara,CA,For profit,YES
MOUNTAIN VIEW HEALTHCARE CENTER,Santa Clara,CA,For profit,
SKYLINE HEALTHCARE CENTER - SAN JOSE,Santa Clara,CA,For profit,YES
THE TERRACES OF LOS GATOS,Santa Clara,CA,Non profit,
VALLEY HOUSE REHABILITATION CENTER,Santa Clara,CA,For profit,YES
VISTA MANOR NURSING CENTER,Santa Clara,CA,For profit,YES
APPLE VALLEY POST-ACUTE REHAB,Sonoma,CA,For profit,
CASA DE MODESTO,Stanislaus,CA,Non profit,YES
ENGLISH OAKS CONVALESCENT & REHABILITATION HOSPITA,Stanislaus,CA,For profit,YES
LINDSAY GARDENS NURSING & REHABILITATION,Tulare,CA,For profit,YES
REDWOOD SPRINGS HEALTHCARE CENTER,Tulare,CA,For profit,YES
CAMARILLO HEALTHCARE CENTER,Ventura,CA,For profit,
GLENWOOD CARE CENTER,Ventura,CA,For profit,
STOLLWOOD CONVALESCENT HOSPITAL,Yolo,CA,Non profit,
AVAMERE TRANSITIONAL CARE AND REHABILITATION,Adams,CO,For profit,
CLEAR CREEK CARE CENTER,Adams,CO,For profit,
LOWRY HILLS CARE AND REHABILITATION,Adams,CO,For profit,YES
ST ANDREWS VILLAGE-LTC,Adams,CO,For profit,
WOODRIDGE TERRACE NURSING AND REHABILITATION,Adams,CO,For profit,YES
"CENTER AT LOWRY, LLC",Arapahoe,CO,For profit,YES
CHERRELYN HEALTHCARE CENTER,Arapahoe,CO,For profit,YES
CHERRY CREEK NURSING CENTER,Arapahoe,CO,For profit,YES
HOLLY HEIGHTS CARE CENTER,Arapahoe,CO,For profit,
LITTLETON CARE AND REHABILITATION CENTER,Arapahoe,CO,For profit,
PEARL STREET HEALTH AND REHABILITATION CENTER,Arapahoe,CO,For profit,YES
"SUITES AT SOMEREN GLEN CARE CENTER, THE",Arapahoe,CO,Non profit,
BOULDER MANOR,Boulder,CO,For profit,YES
FRASIER MEADOWS HEALTH CARE CENTER,Boulder,CO,Non profit,
LIFE CARE CENTER OF LONGMONT,Boulder,CO,For profit,
PEAKS CARE CENTER THE,Boulder,CO,For profit,YES
COLUMBINE MANOR CARE CENTER,Chaffee,CO,For profit,
AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit,YES
DENVER NORTH CARE CENTER,Denver,CO,For profit,
HEALTH CENTER AT FRANKLIN PARK,Denver,CO,Non profit,
HIGHLINE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit,
JEWELL CARE CENTER OF DENVER,Denver,CO,For profit,YES
MANORCARE HEALTH SERVICES-DENVER,Denver,CO,For profit,
PARKVIEW CARE CENTER,Denver,CO,For profit,YES
POWERBACK REHABILITATION LAKEWOOD,Denver,CO,For profit,
"ROWAN COMMUNITY, INC",Denver,CO,For profit,
SLOAN'S LAKE REHABILITATION CENTER,Denver,CO,For profit,
CONTINUING CARE AT WIND CREST,Douglas,CO,Non profit,
ASPEN LIVING CENTER,El Paso,CO,For profit,YES
"LAUREL MANOR CARE CENTER, INC",El Paso,CO,Non profit,YES
TERRACE GARDENS HEALTH CARE CENTER,El Paso,CO,For profit,
CANON LODGE CARE CENTER,Fremont,CO,For profit,
CAMBRIDGE CARE CENTER,Jefferson,CO,For profit,
MAPLETON CARE CENTER,Jefferson,CO,For profit,
MONTAGE RIDGE,Jefferson,CO,For profit,
MOUNTAIN VISTA HEALTH CENTER,Jefferson,CO,Non profit,YES
SIERRA REHABILITATION AND CARE COMMUNITY,Jefferson,CO,For profit,
NORTH SHORE HEALTH & REHAB FACILITY,Larimer,CO,For profit,YES
COLOROW HEALTH CARE LLC,Montrose,CO,For profit,
SAN JUAN LIVING CENTER,Montrose,CO,For profit,
EBEN EZER LUTHERAN CARE CENTER,Morgan,CO,Non profit,YES
CASEY'S POND SENIOR LIVING LTC,Routt,CO,Non profit,YES
CENTENNIAL HEALTH CARE CENTER,Weld,CO,For profit,
"CENTER AT CENTERPLACE LLC, THE",Weld,CO,For profit,
COLUMBINE COMMONS HEALTH AND REHAB LLC,Weld,CO,For profit,
"FAIRACRES MANOR, INC.",Weld,CO,For profit,
GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,Weld,CO,Non profit,
APPLE REHAB SHELTON LAKES,Fairfield,CT,For profit,
AUTUMN LAKE HEALTHCARE AT NORWALK,Fairfield,CT,For profit,
BETHEL HEALTH CARE CENTER,Fairfield,CT,For profit,YES
BISHOP WICKE HEALTH & REHAB CT,Fairfield,CT,Non profit,
CAMBRIDGE HEALTH AND REHABILITATION CENTER,Fairfield,CT,For profit,YES
"CAROLTON CHRONIC & CONV HOSP,",Fairfield,CT,For profit,YES
CASSENA CARE AT NORWALK,Fairfield,CT,For profit,
CASSENA CARE AT STAMFORD,Fairfield,CT,For profit,
EDGEHILL HEALTH CENTER,Fairfield,CT,For profit,
"GARDNER HEIGHTS HEALTH CARE CENTER, INC",Fairfield,CT,For profit,
GLEN HILL REHABILITATION & NURSING CENTER,Fairfield,CT,For profit,
GREENWICH WOODS REHABILITATION,Fairfield,CT,For profit,
"HEWITT HEALTH & REHABILITATION CENTER, INC",Fairfield,CT,For profit,YES
JEWISH SENIOR SERVICES,Fairfield,CT,Non profit,YES
LAUREL RIDGE HEALTH CARE CENTE,Fairfield,CT,For profit,
LONG RIDGE POST-ACUTE CARE,Fairfield,CT,For profit,
LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,Fairfield,CT,For profit,
"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",Fairfield,CT,For profit,
MAEFAIR HEALTH CARE CENTER,Fairfield,CT,For profit,
NORTHBRIDGE HEALTH CARE CENTER,Fairfield,CT,For profit,
REGALCARE AT GREENWICH,Fairfield,CT,For profit,
REGALCARE AT SOUTHPORT,Fairfield,CT,For profit,YES
SAINT JOHN PAUL I I CENTER,Fairfield,CT,For profit,
ST CAMILLUS REHABILITATION & NURSING CENTER,Fairfield,CT,For profit,YES
ST JOSEPH'S CENTER,Fairfield,CT,For profit,
"VILLA AT STAMFORD, THE",Fairfield,CT,For profit,
WAVENY CARE CENTER,Fairfield,CT,Non profit,YES
WESTERN REHABILITATION CARE CENTER,Fairfield,CT,For profit,YES
WILTON MEADOWS HEALTH CARE CEN,Fairfield,CT,For profit,YES
"WITHERELL, NATHANIEL",Fairfield,CT,Government,
60 WEST,Hartford,CT,For profit,
APPLE REHAB FARMINGTON VALLEY,Hartford,CT,For profit,YES
APPLE REHAB ROCKY HILL,Hartford,CT,For profit,
BEL AIR MANOR,Hartford,CT,For profit,
BLOOMFIELD HEALTH CARE CENTER,Hartford,CT,For profit,
CALEB HITCHCOCK HEALTH CARE CE,Hartford,CT,Non profit,
CHELSEA PLACE CARE CENTER,Hartford,CT,For profit,
CHERRY BROOK HEALTH CARE CENTE,Hartford,CT,Non profit,
COUNTRYSIDE MANOR OF BRISTOL,Hartford,CT,For profit,
CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,Hartford,CT,For profit,YES
FRESH RIVER HEALTHCARE,Hartford,CT,For profit,YES
GLASTONBURY HEALTH CARE CENTER,Hartford,CT,For profit,
GRANDVIEW REHABILITATION AND HEALTHCARE CENTER,Hartford,CT,For profit,YES
HEBREW CENTER FOR HEALTH AND REHABILITATION,Hartford,CT,For profit,YES
HUGHES HEALTH AND REHABILITATION,Hartford,CT,For profit,
KIMBERLY HALL NORTH,Hartford,CT,For profit,
