Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
ALDEN TERRACE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
ALEXANDRIA CARE CENTER,Los Angeles,CA,For profit
"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit
ALHAMBRA HOSPITAL MED CTR DP/SNF,Los Angeles,CA,For profit
ARARAT CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit
ARARAT NURSING FACILITY,Los Angeles,CA,Non profit
ASTORIA NURSING AND REHAB CENTER,Los Angeles,CA,For profit
AUTUMN HILLS HEALTH CARE CENTER,Los Angeles,CA,For profit
BAY CREST CARE CENTER,Los Angeles,CA,For profit
BEACHWOOD POST-ACUTE & REHAB,Los Angeles,CA,For profit
BEACON HEALTHCARE CENTER,Los Angeles,CA,For profit
BEL TOOREN VILLA CONVALESCENT,Los Angeles,CA,For profit
BELL CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,Los Angeles,CA,For profit
BONNIE BRAE CONVALESCENT HOSP,Los Angeles,CA,For profit
BRENTWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit
BRIER OAK ON SUNSET,Los Angeles,CA,For profit
BRIGHTON CARE CENTER,Los Angeles,CA,For profit
BROADWAY BY THE SEA,Los Angeles,CA,For profit
BROOKDALE NORTHRIDGE,Los Angeles,CA,For profit
BROOKFIELD HEALTHCARE CENTER,Los Angeles,CA,For profit
BUENA VENTURA  POST ACUTE CARE CENTER,Los Angeles,CA,For profit
BURBANK HEALTHCARE & REHAB,Los Angeles,CA,For profit
BURLINGTON CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,Los Angeles,CA,For profit
CALIFORNIA POST ACUTE,Los Angeles,CA,For profit
CALIFORNIA POST-ACUTE CARE,Los Angeles,CA,For profit
CAMELLIA GARDENS CARE CENTER,Los Angeles,CA,For profit
CANYON OAKS NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit
CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST,Los Angeles,CA,For profit
"CENTURY VILLA, INC",Los Angeles,CA,For profit
CHATSWORTH PARK HEALTH CARE CENTER,Los Angeles,CA,For profit
CLEAR VIEW SANITARIUM,Los Angeles,CA,For profit
COAST CARE CONVALESCENT CENTER,Los Angeles,CA,For profit
COLLEGE VISTA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
COLONIAL CARE CENTER,Los Angeles,CA,For profit
COLONIAL GARDENS NURSING HOME,Los Angeles,CA,For profit
COMMUNITY CARE CENTER,Los Angeles,CA,For profit
COUNTRY VILLA EAST NURSING CENTER,Los Angeles,CA,For profit
COUNTRY VILLA LOS FELIZ NURSING CENTER,Los Angeles,CA,For profit
COUNTRY VILLA MAR VISTA NRS CT,Los Angeles,CA,For profit
COUNTRY VILLA NORTH,Los Angeles,CA,For profit
COUNTRY VILLA PAVILION NURSING CENTER,Los Angeles,CA,For profit
COUNTRY VILLA REHABILITATION CENTER,Los Angeles,CA,For profit
COUNTRY VILLA SHERATON,Los Angeles,CA,For profit
COUNTRY VILLA SOUTH CONV CTR,Los Angeles,CA,For profit
COUNTRY VILLA TERRACE NRSG CTR,Los Angeles,CA,For profit
COUNTRY VILLA WILSHIRE CONVALESCENT CENTER,Los Angeles,CA,For profit
COURTYARD CARE CENTER,Los Angeles,CA,For profit
COVINA REHABILITATION CENTER,Los Angeles,CA,For profit
CULVER WEST HEALTH CENTER,Los Angeles,CA,For profit
DEL RIO CONVALESCENT CENTER,Los Angeles,CA,For profit
DEL RIO GARDENS CARE CENTER,Los Angeles,CA,For profit
DOWNEY POST ACUTE,Los Angeles,CA,For profit
DRIFTWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit
EAST LOS ANGELES DOCTORS HOSP,Los Angeles,CA,For profit
EISENBERG VILLAGE,Los Angeles,CA,Non profit
EL RANCHO VISTA HEALTH CARE CENTER,Los Angeles,CA,For profit
EMERALD TERRACE CONV HOSPITAL,Los Angeles,CA,For profit
"FLOWER VILLA, INC",Los Angeles,CA,For profit
FOOTHILL HEIGHTS CARE CENTER,Los Angeles,CA,For profit
FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,Los Angeles,CA,For profit
"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",Los Angeles,CA,For profit
GARDEN CREST REHABILITATION CENTER,Los Angeles,CA,For profit
GARDENA CONVALESCENT CENTER,Los Angeles,CA,For profit
GEM TRANSITIONAL,Los Angeles,CA,For profit
GLENDALE HEALTHCARE CENTER,Los Angeles,CA,For profit
GLENDALE POST ACUTE CENTER,Los Angeles,CA,For profit
GLENHAVEN HEALTHCARE,Los Angeles,CA,For profit
GLENOAKS CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
GOLDEN CROSS HEALTH CARE,Los Angeles,CA,For profit
GRANCELL VILLAGE OF THE JEWISH HOMES FOR THE AGING,Los Angeles,CA,Non profit
GRAND PARK CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
GREATER EL MONTE COMMUNITY HOS,Los Angeles,CA,For profit
HARBOR POST ACUTE CARE CENTER,Los Angeles,CA,For profit
"HAWTHORNE HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit
HERITAGE REHABILITATION CENTER,Los Angeles,CA,For profit
HIGH VALLEY LODGE,Los Angeles,CA,For profit
HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER,Los Angeles,CA,For profit
HOLIDAY MANOR CARE CENTER,Los Angeles,CA,For profit
HOLLENBECK PALMS,Los Angeles,CA,Non profit
HOLLYWOOD PREMIER HEALTHCARE CENTER,Los Angeles,CA,For profit
HUNTINGTON HEALTHCARE CENTER,Los Angeles,CA,For profit
HUNTINGTON POST ACUTE,Los Angeles,CA,For profit
IMPERIAL CREST HEALTH CARE CENTER,Los Angeles,CA,For profit
IMPERIAL HEALTHCARE CENTER,Los Angeles,CA,For profit
INFINITY CARE OF EAST LOS ANGELES,Los Angeles,CA,For profit
INGLEWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit
JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF,Los Angeles,CA,Non profit
KEI-AI LOS ANGELES HEALTHCARE CENTER,Los Angeles,CA,For profit
KEI-AI SOUTH BAY HEALTHCARE CENTER,Los Angeles,CA,For profit
KENNEDY POST ACUTE CARE CENTER,Los Angeles,CA,For profit
KINGSLEY MANOR CARE CENTER,Los Angeles,CA,Non profit
LA BREA REHABILITATION CENTER,Los Angeles,CA,For profit
LA CRESCENTA HEALTHCARE CENTER,Los Angeles,CA,For profit
LA PAZ GEROPSYCHIATRIC CENTER,Los Angeles,CA,For profit
LAKE BALBOA CARE CENTER,Los Angeles,CA,For profit
LAKEVIEW TERRACE,Los Angeles,CA,For profit
LANDMARK MEDICAL CENTER,Los Angeles,CA,For profit
LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC,Los Angeles,CA,For profit
LEGACY HEALTHCARE CENTER,Los Angeles,CA,For profit
LEISURE GLEN POST ACUTE CARE CENTER,Los Angeles,CA,For profit
LIGHTHOUSE  HEALTHCARE CENTER,Los Angeles,CA,For profit
LITTLE SISTERS OF THE POOR,Los Angeles,CA,Non profit
LONG BEACH HEALTHCARE CENTER,Los Angeles,CA,For profit
LONGWOOD MANOR CONV.HOSPITAL,Los Angeles,CA,For profit
LYNWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit
MACLAY HEALTHCARE CENTER,Los Angeles,CA,For profit
MAPLE HEALTHCARE CENTER,Los Angeles,CA,For profit
MARINA POINTE HEALTHCARE & SUBACUTE,Los Angeles,CA,For profit
MAYFLOWER CARE CENTER,Los Angeles,CA,For profit
MAYFLOWER GARDENS CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit
MAYWOOD SKILLED NURSING & WELLNESS CENTRE,Los Angeles,CA,For profit
MID-WILSHIRE HEALTH CARE CNTR,Los Angeles,CA,For profit
MONROVIA GARDENS HEALTHCARE CENTER,Los Angeles,CA,For profit
MONTE VISTA HEALTHCARE CENTER,Los Angeles,CA,For profit
MONTEBELLO CARE CENTER,Los Angeles,CA,For profit
"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit
MONTROSE HEALTHCARE CENTER,Los Angeles,CA,For profit
MOTION PICTURE AND T.V. HOSP D/P SNF,Los Angeles,CA,Non profit
NEW VISTA NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit
NORTHRIDGE CARE CENTER,Los Angeles,CA,For profit
NORWALK MEADOWS NURSING CENTER,Los Angeles,CA,For profit
"NORWALK SKILLED NURSING & WELLNESS CENTRE, LLC",Los Angeles,CA,For profit
OAKPARK HEALTHCARE CENTER,Los Angeles,CA,For profit
OLYMPIA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
OSAGE HEALTHCARE & WELLNESS CENTRE,Los Angeles,CA,For profit
PACIFIC PALMS HEALTHCARE,Los Angeles,CA,For profit
"PACIFIC VILLA, INC",Los Angeles,CA,For profit
PALAZZO POST ACUTE,Los Angeles,CA,For profit
PASADENA GROVE HEALTH CARE,Los Angeles,CA,For profit
PASADENA PARK HEALTHCARE AND WELLNESS CENTER,Los Angeles,CA,For profit
PLAYA DEL REY CENTER,Los Angeles,CA,For profit
PRESBYTERIAN INTERCOMM HOSP DP/SNF,Los Angeles,CA,Non profit
PRIMROSE POST-ACUTE,Los Angeles,CA,For profit
PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,Los Angeles,CA,Non profit
PROVIDENCE LITTLE COMP OF MARY SUBACUTE CARE CTR,Los Angeles,CA,Non profit
RAMONA NURSING & REHABILITATION CENTER,Los Angeles,CA,For profit
RINALDI CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
RIO HONDO SUBACUTE &  NURSING CENTER,Los Angeles,CA,For profit
RIVIERA HEALTHCARE CENTER,Los Angeles,CA,For profit
ROSE GARDEN HEALTHCARE CENTER,Los Angeles,CA,For profit
ROSE VILLA HEALTH CARE CENTER,Los Angeles,CA,For profit
ROYAL CARE SKILLED NURSING CTR,Los Angeles,CA,For profit
ROYAL CREST HEALTH CARE,Los Angeles,CA,For profit
ROYAL GARDENS HEALTHCARE,Los Angeles,CA,For profit
ROYAL OAKS CARE CENTER,Los Angeles,CA,For profit
ROYAL PALMS POST ACUTE,Los Angeles,CA,For profit
ROYALWOOD CARE CENTER,Los Angeles,CA,For profit
SAN FERNANDO POST ACUTE HOSPITAL,Los Angeles,CA,For profit
SANTA ANITA CONVALESCENT HOSP,Los Angeles,CA,For profit
SANTA TERESITA MANOR,Los Angeles,CA,Non profit
SEAPORT 17TH CARE CENTER,Los Angeles,CA,For profit
SHADOW HILLS CONV. HOSPITAL,Los Angeles,CA,For profit
SHARON CARE CENTER,Los Angeles,CA,For profit
SHERMAN OAKS HEALTH & REHAB,Los Angeles,CA,For profit
SOCAL POST-ACUTE CARE,Los Angeles,CA,For profit
SOLHEIM SENIOR COMMUNITY,Los Angeles,CA,Non profit
SOUTH PASADENA CARE CENTER,Los Angeles,CA,For profit
SOUTHLAND,Los Angeles,CA,For profit
STONEY POINT HEALTHCARE CENTER,Los Angeles,CA,For profit
STUDIO CITY REHABILITATION CENTER,Los Angeles,CA,For profit
SUNNYSIDE NURSING CENTER,Los Angeles,CA,Non profit
SUNNYVIEW CARE CENTER,Los Angeles,CA,For profit
SUNRAY HEALTHCARE CENTER,Los Angeles,CA,For profit
SUNSET MANOR CONV HOSP,Los Angeles,CA,For profit
SYLMAR HLTH REHAB CTR,Los Angeles,CA,For profit
THE CALIFORNIAN-PASADENA,Los Angeles,CA,For profit
"THE CARE CENTER ON HAZELTINE, LLC",Los Angeles,CA,For profit
THE EARLWOOD,Los Angeles,CA,For profit
THE ELLISON JOHN TRANSITIONAL CARE CENTER,Los Angeles,CA,For profit
THE GARDENS OF EL MONTE,Los Angeles,CA,For profit
THE GROVE POST-ACUTE CARE CENTER,Los Angeles,CA,For profit
THE MEADOWS POST ACUTE,Los Angeles,CA,For profit
THE ORCHARD - POST ACUTE CARE,Los Angeles,CA,For profit
THE REHABILITATION CENTER OF SANTA MONICA,Los Angeles,CA,For profit
THE REHABILITATION CENTRE OF BEVERLY HILLS,Los Angeles,CA,For profit
"TORRANCE CARE CENTER WEST, INC",Los Angeles,CA,For profit
UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit
VALLEY PALMS CARE CENTER,Los Angeles,CA,For profit
VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit
VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit
VERNON HEALTHCARE CENTER,Los Angeles,CA,For profit
VIEW HEIGHTS CONV HOSP,Los Angeles,CA,For profit
VIRGIL REHABILITATION & SKILLED NURSING CENTER,Los Angeles,CA,For profit
WEST HILLS HEALTH & REHAB CENTER,Los Angeles,CA,For profit
WEST VALLEY POST ACUTE,Los Angeles,CA,For profit
WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit
WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit
WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit
WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,Los Angeles,CA,For profit
WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit
WOODLAND CARE CENTER,Los Angeles,CA,For profit
PINE RIDGE CARE CENTER,Marin,CA,For profit
WINDSOR THE RIDGE REHABILITATION CENTER,Monterey,CA,For profit
ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit
ALAMITOS WEST HEALTH & REHABILITATION,Orange,CA,For profit
"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit
FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit
GARDEN GROVE POST ACUTE,Orange,CA,For profit
HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit
LA HABRA CONVALESCENT HOSPITAL,Orange,CA,For profit
LA PALMA NURSING CENTER,Orange,CA,For profit
LEISURE COURT NURSING CENTER,Orange,CA,For profit
MAINPLACE POST ACUTE,Orange,CA,For profit
MESA VERDE POST ACUTE CARE CENTER,Orange,CA,For profit
PARK REGENCY CARE CENTER,Orange,CA,For profit
PARKVIEW HEALTHCARE CENTER,Orange,CA,For profit
SEA CLIFF HEALTHCARE CENTER,Orange,CA,For profit
WEST ANAHEIM EXTENDED CARE,Orange,CA,For profit
WINDSOR GARDENS CARE CENTER OF FULLERTON,Orange,CA,For profit
WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM,Orange,CA,For profit
ROCK CREEK CARE CENTER,Placer,CA,For profit
ALTA VISTA HEALTHCARE & WELLNESS CENTRE,Riverside,CA,For profit
ARLINGTON GARDENS CARE CENTER,Riverside,CA,For profit
COMMUNITY CARE AND REHABILITATION CENTER,Riverside,CA,For profit
COMMUNITY CARE ON PALM,Riverside,CA,For profit
CORONA HEALTH CARE CENTER,Riverside,CA,For profit
CYPRESS GARDENS CARE CENTER,Riverside,CA,For profit
DESERT REGIONAL MEDICAL CENTER D/P SNF,Riverside,CA,For profit
DEVONSHIRE CARE CENTER,Riverside,CA,For profit
EXTENDED CARE HOSPITAL OF RIVERSIDE,Riverside,CA,For profit
HIGHLAND SPRINGS CARE CENTER,Riverside,CA,For profit
INDIO NURSING AND REHABILITATION CENTER,Riverside,CA,For profit
JURUPA HILLS POST ACUTE,Riverside,CA,For profit
MAGNOLIA REHABILITATION  & NURSING  CENTER,Riverside,CA,For profit
MANORCARE HEALTH SERVICES-HEMET,Riverside,CA,Non profit
MANORCARE HEALTH SERVICES-PALM DESERT,Riverside,CA,Non profit
MISSION CARE CENTER,Riverside,CA,For profit
RAMONA REHABILITATION AND POST ACUTE CARE CENTER,Riverside,CA,For profit
RANCHO MIRAGE HEALTH AND REHABILITATION CENTER,Riverside,CA,For profit
RIVERSIDE POSTACUTE CARE,Riverside,CA,For profit
RIVERWALK POST ACUTE,Riverside,CA,For profit
THE GROVE CARE AND WELLNESS,Riverside,CA,For profit
THE VILLAGE HEALTHCARE CENTER,Riverside,CA,For profit
VALENCIA GARDENS HEALTH CARE CENTER,Riverside,CA,For profit
VILLA HEALTH CARE CENTER,Riverside,CA,For profit
VISTA PACIFICA CONVALESCENT HOSPITAL,Riverside,CA,For profit
ACC CARE CENTER,Sacramento,CA,Non profit
CASA COLOMA HEALTH CARE CENTER,Sacramento,CA,For profit
ESKATON CARE CENTER GREENHAVEN,Sacramento,CA,Non profit
ESKATON CARE CENTER MANZANITA,Sacramento,CA,Non profit
MANORCARE HEALTH SERVICES (CITRUS HEIGHTS),Sacramento,CA,Non profit
MID-TOWN OAKS POST-ACUTE,Sacramento,CA,For profit
WINDSOR EL CAMINO CARE CENTER,Sacramento,CA,For profit
WINDSOR ELK GROVE CARE AND REHABILITATION CENTER,Sacramento,CA,For profit
APPLE VALLEY POST ACUTE CENTER,San Bernardino,CA,For profit
ASISTENCIA VILLA REHABILITATION AND CARE CENTER,San Bernardino,CA,For profit
CALIMESA POST ACUTE,San Bernardino,CA,For profit
CEDAR MOUNTAIN POST ACUTE,San Bernardino,CA,For profit
COMM. HOSP. OF SAN BERNARDINO DP SNF,San Bernardino,CA,Non profit
COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,San Bernardino,CA,Non profit
COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,San Bernardino,CA,For profit
HERITAGE GARDENS HEALTH CARE CENTER,San Bernardino,CA,For profit
HI-DESERT MEDICAL CENTER D/P SNF,San Bernardino,CA,For profit
INLAND CHRISTIAN HOME,San Bernardino,CA,Non profit
LAS COLINAS POST ACUTE,San Bernardino,CA,For profit
LAUREL CONVALESCENT HOSPITAL,San Bernardino,CA,For profit
MEADOWS RIDGE CARE CENTER,San Bernardino,CA,For profit
ONTARIO HEALTHCARE CENTER,San Bernardino,CA,For profit
PLYMOUTH VILLAGE,San Bernardino,CA,Non profit
RECHE CANYON REGIONAL REHAB CENTER,San Bernardino,CA,For profit
SPRING VALLEY POST ACUTE LLC,San Bernardino,CA,For profit
TERRACINA POST ACUTE,San Bernardino,CA,For profit
TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,San Bernardino,CA,For profit
VILLA MESA CARE CENTER,San Bernardino,CA,For profit
AVOCADO POST ACUTE,San Diego,CA,For profit
BALBOA NURSING & REHABILITATION CENTER,San Diego,CA,For profit
BOULDER CREEK POST ACUTE,San Diego,CA,For profit
COUNTRY HILLS HEALTH CARE CENTER,San Diego,CA,For profit
EDGEMOOR HOSPITAL,San Diego,CA,Government
LA MESA HEALTHCARE CENTER,San Diego,CA,For profit
LEMON GROVE CARE AND REHABILITATION CENTER,San Diego,CA,For profit
SAN DIEGO POST-ACUTE CENTER,San Diego,CA,For profit
THE BRADLEY COURT,San Diego,CA,For profit
THE SHORES POST-ACUTE,San Diego,CA,For profit
THE SPRINGS AT PACIFIC REGENT,San Diego,CA,For profit
VALLE VISTA CONVALESCENT HOSPITAL,San Diego,CA,For profit
VICTORIA POST ACUTE CARE,San Diego,CA,For profit
VILLA RANCHO BERNARDO CARE CENTER,San Diego,CA,For profit
WINDSOR GARDENS CONV CENTER OF SAN DIEGO,San Diego,CA,For profit
CENTRAL GARDENS POST ACUTE,San Francisco,CA,For profit
HERITAGE ON THE MARINA,San Francisco,CA,Non profit
JEWISH HOME & REHAB CENTER D/P SNF,San Francisco,CA,Non profit
LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF,San Francisco,CA,Government
LAUREL HEIGHTS COMMUNITY CARE,San Francisco,CA,For profit
SAN FRANCISCO HEALTH CARE,San Francisco,CA,For profit
SAN FRANCISCO TOWERS,San Francisco,CA,Non profit
ST. ANNE'S HOME,San Francisco,CA,Non profit
TUNNELL SKILLED NURSING & REHABILITATION CENTER,San Francisco,CA,For profit
CLEARWATER HEALTHCARE CENTER,San Joaquin,CA,For profit
LA SALETTE HEALTH AND REHABILITATION CENTER,San Joaquin,CA,For profit
ST JUDE CARE CENTER,San Joaquin,CA,For profit
WAGNER HEIGHTS NURSING & REHABILITATION CENTER,San Joaquin,CA,For profit
PACIFICA NURSING AND REHAB CENTER,San Mateo,CA,For profit
SETON MEDICAL CENTER D/P SNF,San Mateo,CA,Non profit
ST. FRANCIS CONVALESCENT PAVILION,San Mateo,CA,For profit
THE SEQUOIAS,San Mateo,CA,Non profit
LOMPOC SKILLED NURSING & REHABILITATION CENTER,Santa Barbara,CA,For profit
LOMPOC VALLEY MEDICAL CTR COMP CARE CTR D/P SNF,Santa Barbara,CA,Government
MARIAN MEDICAL CENTER D/P SNF,Santa Barbara,CA,Non profit
A GRACE SUB ACUTE & SKILLED CARE,Santa Clara,CA,For profit
AMBERWOOD GARDENS,Santa Clara,CA,For profit
CANYON SPRINGS POST-ACUTE,Santa Clara,CA,For profit
CEDAR CREST NURSING AND REHABILITATION CENTER,Santa Clara,CA,For profit
HEALTH CARE CTR AT THE FORUM AT RANCHO SAN ANTONIO,Santa Clara,CA,Non profit
LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,Santa Clara,CA,For profit
MANORCARE HEALTH SERVICES (SUNNYVALE),Santa Clara,CA,Non profit
MOUNTAIN VIEW HEALTHCARE CENTER,Santa Clara,CA,For profit
MT. PLEASANT NURSING CENTER,Santa Clara,CA,For profit
SKYLINE HEALTHCARE CENTER - SAN JOSE,Santa Clara,CA,For profit
THE TERRACES OF LOS GATOS,Santa Clara,CA,Non profit
VALLEY HOUSE REHABILITATION CENTER,Santa Clara,CA,For profit
VASONA CREEK HEALTHCARE CENTER,Santa Clara,CA,For profit
VISTA MANOR NURSING CENTER,Santa Clara,CA,For profit
VETERANS HOME OF CALIFORNIA - REDDING,Shasta,CA,Government
WINDSOR VALLEJO NURSING & REHABILITATION CENTER,Solano,CA,For profit
APPLE VALLEY POST-ACUTE REHAB,Sonoma,CA,For profit
CASA DE MODESTO,Stanislaus,CA,Non profit
ENGLISH OAKS CONVALESCENT & REHABILITATION HOSPITA,Stanislaus,CA,For profit
TURLOCK NURSING & REHABILITATION CENTER,Stanislaus,CA,For profit
LINDSAY GARDENS NURSING & REHABILITATION,Tulare,CA,For profit
REDWOOD SPRINGS HEALTHCARE CENTER,Tulare,CA,For profit
TWIN OAKS REHABILITATION & NURSING CENTER,Tulare,CA,For profit
CAMARILLO HEALTHCARE CENTER,Ventura,CA,For profit
GLENWOOD CARE CENTER,Ventura,CA,For profit
STOLLWOOD CONVALESCENT HOSPITAL,Yolo,CA,Non profit
AVAMERE TRANSITIONAL CARE AND REHABILITATION,Adams,CO,For profit
CLEAR CREEK CARE CENTER,Adams,CO,For profit
LOWRY HILLS CARE AND REHABILITATION,Adams,CO,For profit
ST ANDREWS VILLAGE-LTC,Adams,CO,For profit
UNIVERSITY HEIGHTS REHAB AND CARE COMMUNITY,Adams,CO,For profit
WOODRIDGE TERRACE NURSING AND REHABILITATION,Adams,CO,For profit
BERKLEY MANOR CARE CENTER,Arapahoe,CO,For profit
BROOKDALE GREENWOOD VILLAGE,Arapahoe,CO,For profit
"CENTER AT LOWRY, LLC",Arapahoe,CO,For profit
CHERRELYN HEALTHCARE CENTER,Arapahoe,CO,For profit
CHERRY CREEK NURSING CENTER,Arapahoe,CO,For profit
HOLLY HEIGHTS CARE CENTER,Arapahoe,CO,For profit
JULIA TEMPLE HEALTHCARE CENTER,Arapahoe,CO,For profit
LITTLETON CARE AND REHABILITATION CENTER,Arapahoe,CO,For profit
ORCHARD PARK HEALTH CARE CENTER,Arapahoe,CO,For profit
