Provider_Name,County,State,Ownership Type,Federal Provider Number
BROOKFIELD HEALTHCARE CENTER,Los Angeles,CA,For profit,056014
BUENA VENTURA  POST ACUTE CARE CENTER,Los Angeles,CA,For profit,055697
BURBANK HEALTHCARE & REHAB,Los Angeles,CA,For profit,056129
BURLINGTON CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056326
CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,Los Angeles,CA,For profit,056149
CALIFORNIA POST ACUTE,Los Angeles,CA,For profit,055461
CALIFORNIA POST-ACUTE CARE,Los Angeles,CA,For profit,055052
CAMELLIA GARDENS CARE CENTER,Los Angeles,CA,For profit,056316
CANYON OAKS NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit,555822
CASITAS CARE CENTER,Los Angeles,CA,For profit,056148
CATERED MANOR NURSING CENTER,Los Angeles,CA,For profit,056150
CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST,Los Angeles,CA,For profit,056167
"CENTURY VILLA, INC",Los Angeles,CA,For profit,555368
CHANDLER CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056190
CHATSWORTH PARK HEALTH CARE CENTER,Los Angeles,CA,For profit,056351
CLEAR VIEW SANITARIUM,Los Angeles,CA,For profit,555881
COAST CARE CONVALESCENT CENTER,Los Angeles,CA,For profit,555199
COLLEGE VISTA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,555030
COLONIAL CARE CENTER,Los Angeles,CA,For profit,056043
COLONIAL GARDENS NURSING HOME,Los Angeles,CA,For profit,555715
COMMUNITY CARE CENTER,Los Angeles,CA,For profit,05A109
COUNTRY VILLA EAST NURSING CENTER,Los Angeles,CA,For profit,056114
COUNTRY VILLA LOS FELIZ NURSING CENTER,Los Angeles,CA,For profit,056380
COUNTRY VILLA MAR VISTA NRS CT,Los Angeles,CA,For profit,555726
COUNTRY VILLA NORTH,Los Angeles,CA,For profit,056377
COUNTRY VILLA PAVILION NURSING CENTER,Los Angeles,CA,For profit,055160
COUNTRY VILLA REHABILITATION CENTER,Los Angeles,CA,For profit,555397
COUNTRY VILLA SHERATON,Los Angeles,CA,For profit,056367
COUNTRY VILLA SOUTH CONV CTR,Los Angeles,CA,For profit,055504
COUNTRY VILLA TERRACE NRSG CTR,Los Angeles,CA,For profit,055119
COUNTRY VILLA WESTWOOD,Los Angeles,CA,For profit,055060
COUNTRY VILLA WILSHIRE CONVALESCENT CENTER,Los Angeles,CA,For profit,055710
COURTYARD CARE CENTER,Los Angeles,CA,For profit,555785
COVINA REHABILITATION CENTER,Los Angeles,CA,For profit,055449
CULVER WEST HEALTH CENTER,Los Angeles,CA,For profit,055350
DEL RIO CONVALESCENT CENTER,Los Angeles,CA,For profit,555781
DEL RIO GARDENS CARE CENTER,Los Angeles,CA,For profit,555780
DOWNEY POST ACUTE,Los Angeles,CA,For profit,055519
DRIFTWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit,555114
EAST LOS ANGELES DOCTORS HOSP,Los Angeles,CA,For profit,555255
EISENBERG VILLAGE,Los Angeles,CA,Non profit,055013
EL ENCANTO HEALTHCARE CENTER,Los Angeles,CA,Non profit,555395
EL MONTE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,055202
EL RANCHO VISTA HEALTH CARE CENTER,Los Angeles,CA,For profit,555112
ELMCREST CARE CENTER,Los Angeles,CA,For profit,055372
EMERALD TERRACE CONV HOSPITAL,Los Angeles,CA,For profit,056157
"FLOWER VILLA, INC",Los Angeles,CA,For profit,056438
FOOTHILL HEIGHTS CARE CENTER,Los Angeles,CA,For profit,555894
FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,Los Angeles,CA,For profit,055111
"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",Los Angeles,CA,For profit,055932
GARDEN CREST REHABILITATION CENTER,Los Angeles,CA,For profit,055161
GARDENA CONVALESCENT CENTER,Los Angeles,CA,For profit,056019
GEM TRANSITIONAL,Los Angeles,CA,For profit,055341
GLENDALE ADVENTIST MEDICAL CENTER DP/SNF,Los Angeles,CA,Non profit,555911
GLENDALE HEALTHCARE CENTER,Los Angeles,CA,For profit,555609
GLENDALE POST ACUTE CENTER,Los Angeles,CA,For profit,055523
GLENDORA CANYON TRANSITIONAL CARE UNIT,Los Angeles,CA,For profit,555416
"GLENDORA GRAND, INC",Los Angeles,CA,For profit,056079
GLENHAVEN HEALTHCARE,Los Angeles,CA,For profit,555605
GLENOAKS CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056317
GOLDEN CROSS HEALTH CARE,Los Angeles,CA,For profit,555096
GOLDEN LEGACY CARE CENTER,Los Angeles,CA,For profit,555814
GOOD SHEPHERD HLTH CARE CTR OF SANTA MONICA,Los Angeles,CA,For profit,555061
GRANADA POST ACUTE,Los Angeles,CA,For profit,555348
GRANCELL VILLAGE OF THE JEWISH HOMES FOR THE AGING,Los Angeles,CA,Non profit,555137
GRAND PARK CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056244
GRAND VALLEY HEALTH CARE CENTER,Los Angeles,CA,For profit,056363
GREATER EL MONTE COMMUNITY HOS,Los Angeles,CA,For profit,555634
GREEN ACRES LODGE,Los Angeles,CA,For profit,555755
GRIFFITH PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056111
GUARDIAN REHABILITATION HOSPITAL,Los Angeles,CA,For profit,056008
HARBOR POST ACUTE CARE CENTER,Los Angeles,CA,For profit,056192
"HAWTHORNE HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,555677
HERITAGE REHABILITATION CENTER,Los Angeles,CA,For profit,056308
HIGH VALLEY LODGE,Los Angeles,CA,For profit,055856
HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER,Los Angeles,CA,For profit,555165
HOLIDAY MANOR CARE CENTER,Los Angeles,CA,For profit,555578
HOLLENBECK PALMS,Los Angeles,CA,Non profit,055115
HOLLYWOOD PREMIER HEALTHCARE CENTER,Los Angeles,CA,For profit,056489
HUNTINGTON DRIVE HEALTH AND REHABILITATION CENTER,Los Angeles,CA,For profit,055376
HUNTINGTON HEALTHCARE CENTER,Los Angeles,CA,For profit,555865
HUNTINGTON POST ACUTE,Los Angeles,CA,For profit,056080
IMPERIAL CREST HEALTH CARE CENTER,Los Angeles,CA,For profit,555719
IMPERIAL HEALTHCARE CENTER,Los Angeles,CA,For profit,056115
INFINITY CARE OF EAST LOS ANGELES,Los Angeles,CA,For profit,056063
INGLEWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit,055526
INLAND VALLEY CARE AND REHABILITATION CENTER,Los Angeles,CA,For profit,056431
JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF,Los Angeles,CA,Non profit,555846
KEI-AI LOS ANGELES HEALTHCARE CENTER,Los Angeles,CA,For profit,555438
KEI-AI SOUTH BAY HEALTHCARE CENTER,Los Angeles,CA,For profit,555306
KENNEDY POST ACUTE CARE CENTER,Los Angeles,CA,For profit,055977
KINGSLEY MANOR CARE CENTER,Los Angeles,CA,Non profit,555086
LA BREA REHABILITATION CENTER,Los Angeles,CA,For profit,056195
LA CRESCENTA HEALTHCARE CENTER,Los Angeles,CA,For profit,055960
LA PAZ GEROPSYCHIATRIC CENTER,Los Angeles,CA,For profit,05A355
LAKE BALBOA CARE CENTER,Los Angeles,CA,For profit,056180
LAKEVIEW TERRACE,Los Angeles,CA,For profit,056078
LAKEWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit,555099
LANDMARK MEDICAL CENTER,Los Angeles,CA,For profit,05A134
LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC,Los Angeles,CA,For profit,555816
LEGACY HEALTHCARE CENTER,Los Angeles,CA,For profit,555893
LEISURE GLEN POST ACUTE CARE CENTER,Los Angeles,CA,For profit,055845
LIGHTHOUSE  HEALTHCARE CENTER,Los Angeles,CA,For profit,056478
LITTLE SISTERS OF THE POOR,Los Angeles,CA,Non profit,05A331
"LONG BEACH CARE CENTER, INC",Los Angeles,CA,For profit,056188
LONG BEACH HEALTHCARE CENTER,Los Angeles,CA,For profit,055364
LONGWOOD MANOR CONV.HOSPITAL,Los Angeles,CA,For profit,055753
LYNWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit,056415
MACLAY HEALTHCARE CENTER,Los Angeles,CA,For profit,555583
MAPLE HEALTHCARE CENTER,Los Angeles,CA,For profit,055036
MARINA POINTE HEALTHCARE & SUBACUTE,Los Angeles,CA,For profit,555340
MAYFLOWER CARE CENTER,Los Angeles,CA,For profit,555374
MAYFLOWER GARDENS CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit,056286
MAYWOOD SKILLED NURSING & WELLNESS CENTRE,Los Angeles,CA,For profit,555130
MEMORIAL HOSPITAL OF GARDENA D/P SNF,Los Angeles,CA,For profit,555441
MID-WILSHIRE HEALTH CARE CNTR,Los Angeles,CA,For profit,056174
MONROVIA GARDENS HEALTHCARE CENTER,Los Angeles,CA,For profit,055367
MONTE VISTA HEALTHCARE CENTER,Los Angeles,CA,For profit,055817
MONTEBELLO CARE CENTER,Los Angeles,CA,For profit,055153
"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,055163
"MONTEREY HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,555897
MONTROSE HEALTHCARE CENTER,Los Angeles,CA,For profit,055135
MOTION PICTURE AND T.V. HOSP D/P SNF,Los Angeles,CA,Non profit,055034
MOUNTAIN VIEW CONV HOSP,Los Angeles,CA,For profit,056333
NEW VISTA NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit,056031
NORTHRIDGE CARE CENTER,Los Angeles,CA,For profit,056412
NORWALK MEADOWS NURSING CENTER,Los Angeles,CA,For profit,055297
"NORWALK SKILLED NURSING & WELLNESS CENTRE, LLC",Los Angeles,CA,For profit,555668
OAKPARK HEALTHCARE CENTER,Los Angeles,CA,For profit,055360
OLYMPIA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056321
OSAGE HEALTHCARE & WELLNESS CENTRE,Los Angeles,CA,For profit,056143
PACIFIC PALMS HEALTHCARE,Los Angeles,CA,For profit,056164
"PACIFIC VILLA, INC",Los Angeles,CA,For profit,056313
PALAZZO POST ACUTE,Los Angeles,CA,For profit,056456
PANORAMA GARDENS NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit,056337
PARK AVENUE HEALTHCARE & WELLNESS CENTER,Los Angeles,CA,For profit,555852
"PASADENA CARE CENTER, LLC",Los Angeles,CA,For profit,555213
PASADENA GROVE HEALTH CARE,Los Angeles,CA,For profit,055617
PASADENA PARK HEALTHCARE AND WELLNESS CENTER,Los Angeles,CA,For profit,055548
PENN MAR THERAPEUTIC CENTER,Los Angeles,CA,For profit,05A360
PLAYA DEL REY CENTER,Los Angeles,CA,For profit,555004
PRESBYTERIAN INTERCOMM HOSP DP/SNF,Los Angeles,CA,Non profit,555654
PRIMROSE POST-ACUTE,Los Angeles,CA,For profit,055608
PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,Los Angeles,CA,Non profit,056499
PROVIDENCE LITTLE COMP OF MARY SUBACUTE CARE CTR,Los Angeles,CA,Non profit,555848
RAMONA NURSING & REHABILITATION CENTER,Los Angeles,CA,For profit,055141
RINALDI CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,055906
RIO HONDO SUBACUTE &  NURSING CENTER,Los Angeles,CA,For profit,056487
RIVIERA HEALTHCARE CENTER,Los Angeles,CA,For profit,055045
ROSE GARDEN HEALTHCARE CENTER,Los Angeles,CA,For profit,055862
ROSE VILLA HEALTH CARE CENTER,Los Angeles,CA,For profit,056104
ROYAL CARE SKILLED NURSING CTR,Los Angeles,CA,For profit,055041
ROYAL CREST HEALTH CARE,Los Angeles,CA,For profit,055544
ROYAL GARDENS HEALTHCARE,Los Angeles,CA,For profit,055818
ROYAL PALMS POST ACUTE,Los Angeles,CA,For profit,055899
ROYAL VISTA CARE CENTER,Los Angeles,CA,For profit,055105
ROYALWOOD CARE CENTER,Los Angeles,CA,For profit,055531
SAINT VINCENT HEALTHCARE,Los Angeles,CA,For profit,555119
SANTA ANITA CONVALESCENT HOSP,Los Angeles,CA,For profit,055293
SANTA FE LODGE,Los Angeles,CA,For profit,555106
SANTA MONICA CONV CTR II,Los Angeles,CA,For profit,055748
SANTA TERESITA MANOR,Los Angeles,CA,Non profit,055139
SEAPORT 17TH CARE CENTER,Los Angeles,CA,For profit,055155
SHADOW HILLS CONV. HOSPITAL,Los Angeles,CA,For profit,555045
SHARON CARE CENTER,Los Angeles,CA,For profit,055755
SHERMAN OAKS HEALTH & REHAB,Los Angeles,CA,For profit,056250
SOCAL POST-ACUTE CARE,Los Angeles,CA,For profit,055168
SOLHEIM SENIOR COMMUNITY,Los Angeles,CA,Non profit,555432
SOUTH PASADENA CARE CENTER,Los Angeles,CA,For profit,555908
SOUTHLAND,Los Angeles,CA,For profit,555070
STONEY POINT HEALTHCARE CENTER,Los Angeles,CA,For profit,555574
STUDIO CITY REHABILITATION CENTER,Los Angeles,CA,For profit,555686
SUNNYSIDE NURSING CENTER,Los Angeles,CA,Non profit,056488
SUNNYVIEW CARE CENTER,Los Angeles,CA,For profit,555071
SUNRAY HEALTHCARE CENTER,Los Angeles,CA,For profit,055870
SUNSET MANOR CONV HOSP,Los Angeles,CA,For profit,055104
SYLMAR HLTH REHAB CTR,Los Angeles,CA,For profit,05A397
TEMPLE CITY HEALTHCARE,Los Angeles,CA,For profit,056413
THE CALIFORNIAN-PASADENA,Los Angeles,CA,For profit,055480
"THE CARE CENTER ON HAZELTINE, LLC",Los Angeles,CA,For profit,555519
THE EARLWOOD,Los Angeles,CA,For profit,055032
THE ELLISON JOHN TRANSITIONAL CARE CENTER,Los Angeles,CA,For profit,555904
THE GARDENS OF EL MONTE,Los Angeles,CA,For profit,555903
THE GROVE POST-ACUTE CARE CENTER,Los Angeles,CA,For profit,056382
THE MEADOWS POST ACUTE,Los Angeles,CA,For profit,056137
THE ORCHARD - POST ACUTE CARE,Los Angeles,CA,For profit,055706
THE REHABILITATION CENTER OF SANTA MONICA,Los Angeles,CA,For profit,555808
THE REHABILITATION CENTRE OF BEVERLY HILLS,Los Angeles,CA,For profit,555700
TOPANGA TERRACE,Los Angeles,CA,For profit,056092
"TORRANCE CARE CENTER WEST, INC",Los Angeles,CA,For profit,055952
TORRANCE MEMORIAL MED CTR SNF/DP,Los Angeles,CA,Non profit,555599
UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056206
VALLEY PALMS CARE CENTER,Los Angeles,CA,For profit,055287
VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit,555132
VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit,056322
VERNON HEALTHCARE CENTER,Los Angeles,CA,For profit,055167
VIEW HEIGHTS CONV HOSP,Los Angeles,CA,For profit,056417
VIEW PARK CONV HOSP,Los Angeles,CA,For profit,555065
VILLA ELENA HEALTHCARE CENTER,Los Angeles,CA,For profit,056425
VILLA SCALABRINI SPECIAL CARE,Los Angeles,CA,Non profit,555862
VIRGIL REHABILITATION & SKILLED NURSING CENTER,Los Angeles,CA,For profit,055157
WEST COVINA MEDICAL CENTER D/P SNF,Los Angeles,CA,For profit,555649
WEST HILLS HEALTH & REHAB CENTER,Los Angeles,CA,For profit,056133
WEST VALLEY POST ACUTE,Los Angeles,CA,For profit,055443
WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit,555069
WESTLAKE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056242
WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430
WHITTIER PACIFIC CARE CENTER,Los Angeles,CA,For profit,055764
WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit,056451
WINDSOR GARDENS CONV CENTER OF HAWTHORNE,Los Angeles,CA,For profit,056267
WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,Los Angeles,CA,For profit,555375
WINDSOR GARDENS HEALTHCARE OF THE VALLEY,Los Angeles,CA,For profit,555012
WINDSOR MANOR,Los Angeles,CA,Non profit,555616
WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738
WOODLAND CARE CENTER,Los Angeles,CA,For profit,056066
PINE RIDGE CARE CENTER,Marin,CA,For profit,055850
WINDSOR THE RIDGE REHABILITATION CENTER,Monterey,CA,For profit,555060
ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit,055330
ALAMITOS WEST HEALTH & REHABILITATION,Orange,CA,For profit,056169
ANAHEIM CREST NURSING CENTER,Orange,CA,For profit,555445
"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit,055984
COVENTRY COURT HEALTH CENTER,Orange,CA,For profit,055983
FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit,055121
FRENCH PARK CARE CENTER,Orange,CA,For profit,555103
GARDEN GROVE POST ACUTE,Orange,CA,For profit,056145
GARDEN PARK CARE CENTER,Orange,CA,For profit,555667
HARBOR VILLA CARE CENTER,Orange,CA,For profit,055742
HEALTHCARE CENTER OF ORANGE COUNTY,Orange,CA,For profit,055674
HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit,055888
LA HABRA CONVALESCENT HOSPITAL,Orange,CA,For profit,055622
LA PALMA NURSING CENTER,Orange,CA,For profit,555329
LAGUNA HILLS HEALTH AND REHABILITATION CENTER,Orange,CA,For profit,056110
LEISURE COURT NURSING CENTER,Orange,CA,For profit,555520
MAINPLACE POST ACUTE,Orange,CA,For profit,555259
MESA VERDE POST ACUTE CARE CENTER,Orange,CA,For profit,056362
NEW ORANGE HILLS,Orange,CA,For profit,555286
"ORANGE HEALTHCARE & WELLNESS CENTRE, LLC",Orange,CA,For profit,055252
ORANGEGROVE REHABILITATION HOSPITAL,Orange,CA,For profit,555021
PARK ANAHEIM HEALTHCARE CENTER,Orange,CA,For profit,555035
PARK REGENCY CARE CENTER,Orange,CA,For profit,555536
PARKVIEW HEALTHCARE CENTER,Orange,CA,For profit,055671
SEA CLIFF HEALTHCARE CENTER,Orange,CA,For profit,555249
ST EDNA SUBACUTE AND REHABILITATION CENTER,Orange,CA,For profit,555093
SUN MAR NURSING CENTER,Orange,CA,For profit,555266
THE HILLS POST ACUTE,Orange,CA,For profit,555765
WEST ANAHEIM EXTENDED CARE,Orange,CA,For profit,555388
WEST ANAHEIM MEDICAL CENTER D/P SNF,Orange,CA,For profit,555883
WINDSOR GARDENS CARE CENTER OF FULLERTON,Orange,CA,For profit,055689
WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM,Orange,CA,For profit,555688
AUBURN RAVINE TERRACE,Placer,CA,Non profit,555645
ROCK CREEK CARE CENTER,Placer,CA,For profit,055446
ALTA VISTA HEALTHCARE & WELLNESS CENTRE,Riverside,CA,For profit,055042
ARLINGTON GARDENS CARE CENTER,Riverside,CA,For profit,056485
CHERRY VALLEY HEALTHCARE,Riverside,CA,For profit,555309
